epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.69126,1.69885,0.13004,1,1.72461,3.333e-05,3.333e-05,3.333e-05
2,7.91563,1.65233,0.19731,1,1.6377,7.62302e-05,7.62302e-05,7.62302e-05
3,8.55294,1.56746,0.29596,1,1.52539,0.00011737,0.00011737,0.00011737
4,8.98674,1.48086,0.44395,1,1.39648,0.000156751,0.000156751,0.000156751
5,10.7065,1.35787,0.56502,1,1.2373,0.000194372,0.000194372,0.000194372
6,11.1438,1.23439,0.64574,1,1.04688,0.000230233,0.000230233,0.000230233
7,13.8815,1.07969,0.71749,1,0.85107,0.000264334,0.000264334,0.000264334
8,14.3057,0.91415,0.78027,1,0.67627,0.000296675,0.000296675,0.000296675
9,16.3463,0.76303,0.8296,1,0.53271,0.000327256,0.000327256,0.000327256
10,16.7687,0.62783,0.86547,1,0.42798,0.000356078,0.000356078,0.000356078
11,19.3246,0.5215,0.86547,1,0.36133,0.000383139,0.000383139,0.000383139
12,19.7469,0.44021,0.89686,1,0.27905,0.000408441,0.000408441,0.000408441
13,22.0692,0.41425,0.91928,1,0.23547,0.000431983,0.000431983,0.000431983
14,22.4918,0.31272,0.90135,1,0.23108,0.000453766,0.000453766,0.000453766
15,25.0092,0.26621,0.91928,1,0.21118,0.000473788,0.000473788,0.000473788
16,25.4326,0.23207,0.92825,1,0.21216,0.000492051,0.000492051,0.000492051
17,27.9112,0.21671,0.92377,1,0.20227,0.000508554,0.000508554,0.000508554
18,28.3274,0.19092,0.92377,1,0.17383,0.000523297,0.000523297,0.000523297
19,30.728,0.17207,0.92825,1,0.15784,0.00053628,0.00053628,0.00053628
20,31.1525,0.16806,0.9148,1,0.18518,0.000547503,0.000547503,0.000547503
21,33.5923,0.16278,0.90135,1,0.20374,0.000556967,0.000556967,0.000556967
22,34.0076,0.13764,0.9148,1,0.16492,0.00056467,0.00056467,0.00056467
23,36.5452,0.14638,0.91928,1,0.16699,0.000570614,0.000570614,0.000570614
24,36.9611,0.12866,0.92377,1,0.15759,0.000574798,0.000574798,0.000574798
25,39.43,0.12107,0.92377,1,0.16699,0.000577222,0.000577222,0.000577222
26,39.8433,0.10355,0.92825,1,0.17566,0.000561055,0.000561055,0.000561055
